2025-02-21 18:21:26,521 - logger - INFO - Logger is setup
2025-02-21 18:23:32,504 - logger - INFO - Logger is setup
2025-02-21 18:26:01,549 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:25:56.5', 'value': 4887.515625, 'unit': 'Seconds'}
2025-02-21 18:26:07,552 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:26:07.5', 'value': 0.7, 'unit': 'Percent'}
2025-02-21 18:26:07,552 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:26:07.5', 'value': 4893.953125, 'unit': 'Seconds'}
2025-02-21 18:26:12,553 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:26:07.5', 'value': 0.7, 'unit': 'Percent'}
2025-02-21 18:26:12,553 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:26:07.5', 'value': 4893.953125, 'unit': 'Seconds'}
2025-02-21 18:26:18,554 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:26:18.5', 'value': 2.0, 'unit': 'Percent'}
2025-02-21 18:26:18,554 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:26:18.5', 'value': 4894.609375, 'unit': 'Seconds'}
2025-02-21 18:26:23,555 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:26:18.5', 'value': 2.0, 'unit': 'Percent'}
2025-02-21 18:26:23,555 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:26:18.5', 'value': 4894.609375, 'unit': 'Seconds'}
2025-02-21 18:26:29,557 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:26:29.5', 'value': 0.6, 'unit': 'Percent'}
2025-02-21 18:26:29,557 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:26:29.5', 'value': 4895.109375, 'unit': 'Seconds'}
2025-02-21 18:26:34,559 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:26:29.5', 'value': 0.6, 'unit': 'Percent'}
2025-02-21 18:26:34,559 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:26:29.5', 'value': 4895.109375, 'unit': 'Seconds'}
2025-02-21 18:26:40,561 - root - INFO - {'device': 'device_123', 'metric': 'cpuutilization', 'timestamp': '18:26:40.5', 'value': 0.8, 'unit': 'Percent'}
2025-02-21 18:26:40,561 - root - INFO - {'device': 'device_123', 'metric': 'cputimes', 'timestamp': '18:26:40.5', 'value': 4895.5625, 'unit': 'Seconds'}
